Reference, Value, Footprint, Datasheet, Distributor, Manuf. Part, Field4, Field6, Field7, Field8
"R7","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"C4","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","lcsc.com","CL21B104KBCNNNC","","","",""
"R4","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"U4","AT25SF081","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.adestotech.com/wp-content/uploads/DS-AT25SF081_045.pdf","lcsc.com","AT25SF081-SHD-T","","","",""
"R17","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"R16","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"Q3","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/BS/BSS138.pdf","lcsc.com","BSS138","","","",""
"R11","470","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810311431_YAGEO-RC0805FR-07470RL_C114564.pdf","lcsc.com","RC0805FR-07470RL","","","",""
"HRT1","Heartbeat","TestPoint:TestPoint_Pad_D1.0mm","~"
"X1","CSTCE","blueled:Resonator_SMD_muRata_CSTNE_3Pin_3.2x1.3mm","https://datasheet.lcsc.com/szlcsc/1912111437_Murata-Electronics-CSTNE8M00G55Z000R0_C341524.pdf","lcsc.com","CSTNE8M00G55Z000R0","","","",""
"R1","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810010118_YAGEO-RC0805FR-071KL_C95781.pdf","lcsc.com","RC0805FR-071KL","","","",""
"SW2","PUSH","Button_Switch_SMD:SW_SPST_FSMSM","https://datasheet.lcsc.com/szlcsc/1811082126_Korean-Hroparts-Elec-K2-1107ST-A4SW-06_C118141.pdf","lcsc.com","K2-1107ST-A4SW-06","","","",""
"DBG0","Debug","TestPoint:TestPoint_Pad_D1.0mm","~"
"C3","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","lcsc.com","CL21B104KBCNNNC","","","",""
"U1","ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","lcsc.com","ATmega328P-AU","","","",""
